C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/12/2017,11:00:00,REGULAR,403072,0000465707                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/12/2017,15:00:00,REGULAR,403385,0000465960                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/12/2017,19:00:00,REGULAR,403680,0000466285                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/12/2017,23:00:00,REGULAR,403845,0000466426                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/13/2017,03:00:00,REGULAR,403869,0000466465                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/13/2017,07:00:00,REGULAR,403947,0000466506                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/13/2017,11:00:00,REGULAR,405022,0000466591                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/13/2017,15:00:00,REGULAR,405349,0000466774                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/13/2017,19:00:00,REGULAR,405670,0000467595                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/13/2017,23:00:00,REGULAR,405899,0000468176                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/14/2017,03:00:00,REGULAR,405928,0000468229                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/14/2017,07:00:00,REGULAR,406021,0000468261                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/14/2017,11:00:00,REGULAR,407167,0000468337                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/14/2017,15:00:00,REGULAR,407518,0000468528                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/14/2017,19:00:00,REGULAR,407904,0000469465                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/14/2017,23:00:00,REGULAR,408167,0000470188                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/15/2017,03:00:00,REGULAR,408233,0000470276                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/15/2017,07:00:00,REGULAR,408324,0000470306                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/15/2017,11:00:00,REGULAR,409499,0000470411                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/15/2017,15:00:00,REGULAR,409914,0000470586                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/15/2017,19:00:00,REGULAR,410345,0000471428                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/15/2017,23:00:00,REGULAR,410612,0000472122                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/16/2017,03:00:00,REGULAR,410663,0000472220                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/16/2017,07:00:00,REGULAR,410737,0000472241                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/16/2017,11:00:00,REGULAR,411779,0000472342                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/16/2017,15:00:00,REGULAR,412129,0000472530                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/16/2017,19:00:00,REGULAR,412526,0000473378                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/16/2017,23:00:00,REGULAR,412745,0000474125                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/17/2017,03:00:00,REGULAR,412791,0000474215                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/17/2017,07:00:00,REGULAR,412864,0000474248                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/17/2017,11:00:00,REGULAR,413784,0000474358                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/17/2017,15:00:00,REGULAR,414142,0000474596                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/17/2017,19:00:00,REGULAR,414544,0000475517                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/17/2017,23:00:00,REGULAR,414861,0000476100                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/11/2017,00:00:00,REGULAR,6566828,0000919741                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/11/2017,04:00:00,REGULAR,6566860,0000919748                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/11/2017,08:00:00,REGULAR,6566909,0000919754                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/11/2017,12:00:00,REGULAR,6567260,0000919787                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/11/2017,16:00:00,REGULAR,6567721,0000919840                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/11/2017,20:00:00,REGULAR,6568017,0000919877                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/12/2017,00:00:00,REGULAR,6568155,0000919901                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/12/2017,04:00:00,REGULAR,6568198,0000919910                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/12/2017,12:00:00,REGULAR,6568414,0000919936                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/12/2017,16:00:00,REGULAR,6568639,0000919973                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/12/2017,20:00:00,REGULAR,6568821,0000920008                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/13/2017,00:00:00,REGULAR,6568914,0000920015                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/13/2017,04:00:00,REGULAR,6568930,0000920018                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/13/2017,08:00:00,REGULAR,6569170,0000920039                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/13/2017,12:00:00,REGULAR,6569953,0000920104                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/13/2017,16:00:00,REGULAR,6570308,0000920147                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/13/2017,20:00:00,REGULAR,6570642,0000920200                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/14/2017,00:00:00,REGULAR,6570717,0000920214                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/14/2017,04:00:00,REGULAR,6570738,0000920218                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/14/2017,08:00:00,REGULAR,6570971,0000920253                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/14/2017,12:00:00,REGULAR,6571802,0000920301                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/14/2017,16:00:00,REGULAR,6572190,0000920343                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/14/2017,20:00:00,REGULAR,6572554,0000920378                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/15/2017,00:00:00,REGULAR,6572669,0000920401                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/15/2017,04:00:00,REGULAR,6572697,0000920405                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/15/2017,08:00:00,REGULAR,6572914,0000920433                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/15/2017,12:00:00,REGULAR,6573829,0000920508                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/15/2017,16:00:00,REGULAR,6574162,0000920564                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/15/2017,20:00:00,REGULAR,6574503,0000920601                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/16/2017,00:00:00,REGULAR,6574603,0000920619                                             
J001,R460,01-00-00,MARCY AV,JMZ,BMT,02/16/2017,04:00:00,REGULAR,6574623,0000920628                                             
